pin,product_category,main_category,gender
752030837789217209,Clothing,Pants,Women
654851602078824228,Clothing,Pants,Women
716142778257404866,Clothing,Pants,Women
659918151681911161,Clothing,Pants,Women
1078893654455335042,Clothing,Pants,Women
844493670833216,Clothing,Pants,Women
962996332794334879,Clothing,Pants,Women
1086986060032335075,Shoes,Heels,Women
579416308316352808,Shoes,Heels,Women
2251868553291833,Shoes,Heels,Women
753649318905221980,Shoes,Heels,Women
922112092425177042,Shoes,Heels,Women
383720830747802135,Shoes,Heels,Women
1047298088318342388,Shoes,Heels,Women
407927678757531036,Shoes,Heels,Women
7529524366573321,Shoes,Heels,Women
70298444175305187,Shoes,Heels,Women
320318592256485882,Shoes,Heels,Women
19281104647276618,Shoes,Heels,Women
331085010118037475,Shoes,Heels,Women
441915782195195502,Shoes,Heels,Women
85498092917510233,Shoes,Heels,Women
707135578999665766,Shoes,Heels,Women
1100989440124722362,Shoes,Heels,Women
335166397276860492,Shoes,Heels,Women
667095763557197577,Shoes,Heels,Women
17803361021044917,Shoes,Heels,Women
475270566934322394,Shoes,Heels,Women
13933080085211153,Shoes,Heels,Women
915990011680702941,Shoes,Heels,Women
135319163796158026,Shoes,Heels,Women
580823683197392607,Shoes,Heels,Women
767300855264820452,Shoes,Heels,Women
794040978061921540,Shoes,Heels,Women
1548181149652851,Shoes,Heels,Women
11822017761698696,Shoes,Heels,Women
675047431646397495,Shoes,Heels,Women
1047298088316556662,Shoes,Heels,Women
115686284169679079,Shoes,Heels,Women
21040323250600310,Shoes,Heels,Women
559783428692977642,Shoes,Heels,Women
657455245608761205,Shoes,Heels,Women
42150946503866343,Shoes,Heels,Women
353954851971463268,Shoes,Heels,Women
692709986432895422,Shoes,Heels,Women
1829656089999578,Shoes,Heels,Women
586734657715685014,Shoes,Heels,Women
852165560746593610,Shoes,Heels,Women
773000723542798981,Shoes,Heels,Women
301107925097301319,Shoes,Heels,Women
8022105578077981,Shoes,Heels,Women
57420963991662443,Shoes,Heels,Women
637259416033762500,Shoes,Heels,Women
4714774600281502,Shoes,Heels,Women
669136457142025918,Shoes,Heels,Women
6966574414093100,Shoes,Heels,Women
96264510774962449,Shoes,Heels,Women
602989837619376002,Shoes,Heels,Women
123919427239825195,Shoes,Heels,Women
68743271958,Shoes,Heels,Women
595882594434283693,Shoes,Heels,Women
767300855253370311,Shoes,Heels,Women
7951736824097466,Shoes,Heels,Women
602075043944676553,Shoes,Heels,Women
916482592890614214,Shoes,Heels,Women
667940188481052909,Shoes,Heels,Women
1047298088318173475,Shoes,Heels,Women
474637248247350892,Shoes,Heels,Women
9992430413687704,Shoes,Heels,Women
586734657715913983,Shoes,Heels,Women
1055599903423506,Shoes,Heels,Women
748934613040695055,Shoes,Heels,Women
128000814399538884,Shoes,Heels,Women
760826930806677074,Shoes,Heels,Women
369435975657754354,Shoes,Heels,Women
20688479528708217,Shoes,Heels,Women
414612709455570537,Shoes,Heels,Women
659918151693636878,Shoes,Heels,Women
673921531746316120,Shoes,Heels,Women
14003448832229264,Shoes,Heels,Women
560416747381461047,Shoes,Heels,Women
855965472927620636,Shoes,Heels,Women
1047298088316053553,Shoes,Heels,Women
801288958688833882,Shoes,Heels,Women
685391637051044276,Shoes,Heels,Women
281686151685416484,Shoes,Heels,Women
411094272239075576,Shoes,Heels,Women
1829656089176301,Shoes,Heels,Women
720857484113508631,Shoes,Heels,Women
1548181145482844,Shoes,Heels,Women
647744358910222278,Shoes,Heels,Women
445997169358269802,Shoes,Heels,Women
1116892776308908358,Shoes,Heels,Women
305822630955996367,Shoes,Heels,Women
60657926219548472,Shoes,Heels,Women
588704982543336853,Shoes,Heels,Women
244953667222087936,Shoes,Heels,Women
36521446968286209,Shoes,Heels,Women
800233427538950159,Shoes,Heels,Women
474637248236093160,Shoes,Heels,Women
586734657715940986,Shoes,Heels,Women
